session_id,user_id,user_demographic_cluster,user_segment,time_of_day,is_weekend,weather_proxy,transit_distance_km,restaurant_busyness,current_cart_value_inr,dominant_cuisine,candidate_item_id,candidate_macro_cat,candidate_price_ratio,was_accepted
d058d780-4bcd-4049-9b83-adf5a73bdc16,U_5703,The Strictly Meat Solo,Mid-Tier,Lunch,True,Rainy/Cold,8.4,3,289,Main_Course,PFC_012,Main_Course,0.3079584775086505,0
d058d780-4bcd-4049-9b83-adf5a73bdc16,U_5703,The Strictly Meat Solo,Mid-Tier,Lunch,True,Rainy/Cold,8.4,3,289,Main_Course,PFC_044,Main_Course,0.3079584775086505,0
d058d780-4bcd-4049-9b83-adf5a73bdc16,U_5703,The Strictly Meat Solo,Mid-Tier,Lunch,True,Rainy/Cold,8.4,3,289,Main_Course,PFC_009,Main_Course,0.5501730103806228,0
d058d780-4bcd-4049-9b83-adf5a73bdc16,U_5703,The Strictly Meat Solo,Mid-Tier,Lunch,True,Rainy/Cold,8.4,3,289,Main_Course,PFC_035,Main_Course,0.8269896193771626,1
d058d780-4bcd-4049-9b83-adf5a73bdc16,U_5703,The Strictly Meat Solo,Mid-Tier,Lunch,True,Rainy/Cold,8.4,3,289,Main_Course,PFC_017,Main_Course,0.7577854671280276,0
7b3206ba-d94f-4c4a-83d6-513561f00ce5,U_2508,The Strict Veg Family,Premium,Late_Night,True,Normal,8.1,9,338,Accompaniment,PFC_087,Starter,0.23372781065088757,0
7b3206ba-d94f-4c4a-83d6-513561f00ce5,U_2508,The Strict Veg Family,Premium,Late_Night,True,Normal,8.1,9,338,Accompaniment,PFC_066,Starter,0.3816568047337278,0
7b3206ba-d94f-4c4a-83d6-513561f00ce5,U_2508,The Strict Veg Family,Premium,Late_Night,True,Normal,8.1,9,338,Accompaniment,PFC_095,Starter,0.6183431952662722,0
7b3206ba-d94f-4c4a-83d6-513561f00ce5,U_2508,The Strict Veg Family,Premium,Late_Night,True,Normal,8.1,9,338,Accompaniment,PFC_016,Starter,0.20414201183431951,0
7b3206ba-d94f-4c4a-83d6-513561f00ce5,U_2508,The Strict Veg Family,Premium,Late_Night,True,Normal,8.1,9,338,Accompaniment,PFC_080,Main_Course,0.47041420118343197,0
b4c81290-0c58-42da-a19a-0f6bd2c85c4a,U_8207,The Comfort Eater,Mid-Tier,Dinner,False,Rainy/Cold,5.1,3,248,Main_Course,PFC_014,Main_Course,1.1653225806451613,0
b4c81290-0c58-42da-a19a-0f6bd2c85c4a,U_8207,The Comfort Eater,Mid-Tier,Dinner,False,Rainy/Cold,5.1,3,248,Main_Course,PFC_020,Main_Course,0.6008064516129032,0
b4c81290-0c58-42da-a19a-0f6bd2c85c4a,U_8207,The Comfort Eater,Mid-Tier,Dinner,False,Rainy/Cold,5.1,3,248,Main_Course,PFC_094,Starter,0.6814516129032258,0
b4c81290-0c58-42da-a19a-0f6bd2c85c4a,U_8207,The Comfort Eater,Mid-Tier,Dinner,False,Rainy/Cold,5.1,3,248,Main_Course,PFC_098,Starter,0.9637096774193549,0
b4c81290-0c58-42da-a19a-0f6bd2c85c4a,U_8207,The Comfort Eater,Mid-Tier,Dinner,False,Rainy/Cold,5.1,3,248,Main_Course,PFC_084,Main_Course,1.2056451612903225,1
580ea864-3c4c-4ecf-929d-e749af943642,U_7785,The Discount Chaser,Budget,Lunch,False,Normal,4.7,9,10,Accompaniment,PFC_019,Accompaniment,12.9,0
580ea864-3c4c-4ecf-929d-e749af943642,U_7785,The Discount Chaser,Budget,Lunch,False,Normal,4.7,9,10,Accompaniment,PFC_037,Main_Course,28.9,0
